"","subclasse","classe","descricao_subclasse","ativ_scn","cnae2.0_dom","cnae20"
"1","9700500","97005","Serviços domésticos","9700","97000","97005"
"2","9900800","99008","Organismos internacionais e outras instituições extraterritoriais","0","99000","99008"
"3","0111301","01113","Cultivo de arroz","0191","01101","01113"
"4","0151202","01512","Criação de bovinos para leite","0192","01201","01512"
"5","0210199","02101","Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas","0280","02000","02101"
"6","0500302","05003","Beneficiamento de carvão mineral","0580","05000","05003"
"7","0600003","06000","Extração e beneficiamento de areias betuminosas","0680","06000","06000"
"8","0710302","07103","Pelotização, sinterização e outros beneficiamentos de minério de ferro","0791","07002","07103"
"9","0721902","07219","Beneficiamento de minério de alumínio","0792","07002","07219"
"10","1011202","10112","Frigorífico - abate de equinos","1091","10010","10112"
"11","1031700","10317","Fabricação de conservas de frutas","1093","10021","10317"
"12","1071600","10716","Fabricação de açúcar em bruto","1092","10092","10716"
"13","1111902","11119","Fabricação de outras aguardentes e bebidas destiladas","1100","11000","11119"
"14","1210700","12107","Processamento industrial do fumo","1200","12000","12107"
"15","1311100","13111","Preparação e fiação de fibras de algodão","1300","13001","13111"
"16","1411802","14118","Facção de roupas íntimas","1400","14001","14118"
"17","1510600","15106","Curtimento e outras preparações de couro","1500","15011","15106"
"18","1610204","16102","Serrarias sem desdobramento de madeira em bruto - Resseragem","1600","16001","16102"
"19","1710900","17109","Fabricação de celulose e outras pastas para a fabricação de papel","1700","17001","17109"
"20","1811302","18113","Impressão de livros, revistas e outras publicações periódicas","1800","18000","18113"
"21","1910100","19101","Coquerias","1991","19010","19101"
"22","1931400","19314","Fabricação de álcool","1992","19030","19314"
"23","2011800","20118","Fabricação de cloro e álcalis","2091","20090","20118"
"24","2051700","20517","Fabricação de defensivos agrícolas","2092","20090","20517"
"25","2061400","20614","Fabricação de sabões e detergentes sintéticos","2093","20020","20614"
"26","2110600","21106","Fabricação de produtos farmoquímicos","2100","21000","21106"
"27","2211100","22111","Fabricação de pneumáticos e de câmaras-de-ar","2200","22010","22111"
"28","2311700","23117","Fabricação de vidro plano e de segurança","2300","23010","23117"
"29","2411300","24113","Produção de ferro-gusa","2491","24001","24113"
"30","2441502","24415","Produção de laminados de alumínio","2492","24002","24415"
"31","2511000","25110","Fabricação de estruturas metálicas","2500","25001","25110"
"32","2610800","26108","Fabricação de componentes eletrônicos","2600","26010","26108"
"33","2710402","27104","Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios","2700","27090","27104"
"34","2811900","28119","Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários","2800","28000","28119"
"35","2910701","29107","Fabricação de automóveis, camionetas e utilitários","2991","29001","29107"
"36","2941700","29417","Fabricação de peças e acessórios para o sistema motor de veículos automotores","2992","29002","29417"
"37","3011301","30113","Construção de embarcações de grande porte","3000","30010","30113"
"38","3101200","31012","Fabricação de móveis com predominância de madeira","3180","31000","31012"
"39","3311200","33112","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos","3300","33001","33112"
"40","3511502","35115","Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica","3500","35010","35115"
"41","3600602","36006","Distribuição de água por caminhões","3680","36000","36006"
"42","4110700","41107","Incorporação de empreendimentos imobiliários","4180","41000","41107"
"43","4511102","45111","Comércio a varejo de automóveis, camionetas e utilitários usados","4500","45010","45111"
"44","4611700","46117","Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos","4680","48010","46117"
"45","4911600","49116","Transporte ferroviário de carga","4900","49010","49116"
"46","5011402","50114","Transporte marítimo de cabotagem - Passageiros","5000","50000","50114"
"47","5111100","51111","Transporte aéreo de passageiros regular","5100","51000","51111"
"48","5211701","52117","Armazéns gerais - emissão de warrant","5280","52010","52117"
"49","5510801","55108","Hotéis","5500","55000","55108"
"50","5611201","56112","Restaurantes e similares","5600","56011","56112"
"51","5811500","58115","Edição de livros","5800","58000","58115"
"52","5911101","59111","Estúdios cinematográficos","5980","59000","59111"
"53","6110802","61108","Serviços de redes de transporte de telecomunicações - SRTT","6100","61000","61108"
"54","6201502","62015","Web desing","6280","62000","62015"
"55","6410700","64107","Banco Central","6480","64000","64107"
"56","6810203","68102","Loteamento de imóveis próprios","6800","68000","68102"
"57","6911703","69117","Agente de propriedade industrial","6980","69000","69117"
"58","7111100","71111","Serviços de arquitetura","7180","71000","71111"
"59","7311400","73114","Agências de publicidade","7380","73010","73114"
"60","7711000","77110","Locação de automóveis sem condutor","7700","77020","77110"
"61","7810800","78108","Seleção e agenciamento de mão de obra","7880","78000","78108"
"62","8011102","80111","Serviços de adestramento de cães de guarda","8000","80000","80111"
"63","8411600","84116","Administração pública em geral","8400","84011","84116"
"64","8511200","85112","Educação infantil - creche","8591","85011","85112"
"65","8610102","86101","Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências","8691","86001","86101"
"66","8800600","88006","Serviços de assistência social sem alojamento","8692","88000","88006"
"67","9001901","90019","Produção teatral","9080","90000","90019"
"68","9411100","94111","Atividades de organizações associativas patronais e empresariais","9480","94010","94111"
