cnae2.0_dom;cnae20
01101;01113
01102;01113
01103;01113
01104;01121
01105;01130
01106;01148
01107;01156
01108;01199
01109;01121
01109;01164
01109;01199
01110;01211
01111;01229
01112;01318
01112;01334
01113;01342
01114;01351
01115;01326
01116;01334
01117;01334
01117;01393
01118;01415
01118;01423
01201;01512
01202;01521
01203;01539
01204;01547
01205;01555
01206;01598
01207;01598
01208;01598
01401;01610
01401;01636
01402;01628
01500;01709
02000;02101
02000;02209
02000;02306
03001;03116
03001;03124
03002;03213
03002;03221
01101;01113
01102;01113
01103;01113
01104;01121
01105;01130
01106;01148
01107;01156
01108;01199
01109;01121
01109;01164
01109;01199
01110;01211
01111;01229
01112;01318
01112;01334
01113;01342
01114;01351
01115;01326
01116;01334
01117;01334
01117;01393
01118;01415
01118;01423
01201;01512
01202;01521
01203;01539
01204;01547
01205;01555
01206;01598
01207;01598
01208;01598
01401;01610
01401;01636
01402;01628
01500;01709
02000;02101
02000;02209
02000;02306
03001;03116
03001;03124
03002;03213
03002;03221
05000;05003
06000;06000
07001;07243
07002;07103
07002;07219
07002;07227
07002;07235
07002;07251
07002;07294
08;008
08001;08100
08002;08932
08009;08916
08009;08924
08009;08991
09;009
09000;09106
09000;09904
C;C
10;10
10010;10112
10010;10121
10010;10139
10010;10201
10021;10317
10021;10325
10021;10333
10022;10414
10022;10422
10022;10431
10030;10511
10030;10520
10030;10538
10091;10619
10091;10627
10091;10635
10091;10643
10091;10651
10091;10660
10091;10694
10092;10716
10092;10724
10093;10813
10093;10821
10099;10911
10099;10929
10099;10937
10099;10945
10099;10953
10099;10961
10099;10996
11;11
11000;11119
11000;11127
11000;11135
11000;11216
11000;11224
12;12
12000;12107
12000;12204
13;13
13001;13111
13001;13120
13001;13138
13001;13146
13001;13219
13001;13227
13001;13235
13001;13308
13001;13405
13002;13511
13002;13529
13002;13537
13002;13545
13002;13596
14;14
14001;14118
14001;14126
14001;14134
14001;14142
14001;14215
14001;14223
14002;14126
14002;14134
14002;14142
15;15
15011;15106
15012;15211
15012;15297
15020;15319
15020;15327
15020;15335
15020;15394
15020;15408
16;16
16001;16102
16002;16218
16002;16226
16002;16234
16002;16293
17;17
17001;17109
17001;17214
17001;17222
17002;17311
17002;17320
17002;17338
17002;17419
17002;17427
17002;17494
18;18
18000;18113
18000;18121
18000;18130
18000;18211
18000;18229
18000;18300
19;19
19010;19101
19020;19217
19020;19225
19030;19314
19030;19322
20;20
20010;20711
20010;20720
20010;20738
20020;20614
20020;20622
20020;20631
20090;20118
20090;20126
20090;20134
20090;20142
20090;20193
20090;20215
20090;20223
20090;20291
20090;20312
20090;20321
20090;20339
20090;20401
20090;20517
20090;20525
20090;20916
20090;20924
20090;20932
20090;20941
20090;20991
21;21
21000;21106
21000;21211
21000;21220
21000;21238
22;22
22010;22111
22010;22129
22010;22196
22020;22218
22020;22226
22020;22234
22020;22293
23;23
23010;23117
23010;23125
23010;23192
23091;23419
23091;23427
23091;23494
23099;23206
23099;23303
23099;23915
23099;23923
23099;23991
24;24
24001;24113
24001;24121
24001;24211
24001;24229
24001;24237
24001;24245
24001;24318
24001;24393
24002;24415
24002;24423
24002;24431
24002;24491
24003;24512
24003;24521
25;25
25001;25110
25001;25128
25001;25136
25001;25217
25001;25225
25001;25411
25001;25420
25001;25438
25001;25501
25001;25918
25001;25926
25001;25934
25001;25993
25002;25314
25002;25322
25002;25390
26;26
26010;26108
26020;26213
26020;26221
26030;26311
26030;26329
26030;26400
26041;26515
26041;26523
26041;26604
26042;26701
26042;26809
27;27
27090;27104
27090;27210
27090;27228
27090;27317
27090;27325
27090;27333
27090;27406
27090;27902
27010;27511
27010;27597
28;28
28000;28119
28000;28127
28000;28135
28000;28143
28000;28151
28000;28216
28000;28224
28000;28232
28000;28241
28000;28259
28000;28291
28000;28313
28000;28321
28000;28330
28000;28402
28000;28518
28000;28526
28000;28534
28000;28542
28000;28615
28000;28623
28000;28631
28000;28640
28000;28658
28000;28666
28000;28691
29;29
29001;29107
29001;29204
29002;29301
29002;29417
29002;29425
29002;29433
29002;29441
29002;29450
29002;29492
29003;29506
30;30
30010;30113
30010;30121
30020;30318
30020;30326
30030;30415
30030;30423
30090;30504
30090;30911
30090;30920
30090;30997
31;31
31000;31012
31000;31021
31000;31039
31000;31047
32;32
32001;32116
32001;32124
32002;32205
32003;32302
32003;32400
32009;32507
32009;32914
32009;32922
32009;32990
33;33
33001;33112
33001;33121
33001;33139
33001;33147
33001;33155
33001;33163
33001;33171
33001;33198
33002;33210
33002;33295
D;D
35;35
35010;35115
35010;35123
35010;35131
35010;35140
35021;35204
35022;35301
E;E
36;36
36000;36006
37;37
37000;37011
37000;37029
38;38
38000;38114
38000;38122
38000;38211
38000;38220
38000;38319
38000;38327
38000;38394
39;39
39000;39005
F;F
41;41
41000;41107
41000;41204
42;42
42000;42111
42000;42120
42000;42138
42000;42219
42000;42227
42000;42235
42000;42910
42000;42928
42000;42995
43;43
43000;43118
43000;43126
43000;43134
43000;43193
43000;43215
43000;43223
43000;43291
43000;43304
43000;43916
43000;43991
G;G
45;45
45010;45111
45010;45129
45020;45200
45030;45307
45040;45412
45040;45421
45040;45439
48;46
48;47
48010;46117
48010;46125
48010;46133
48010;46141
48010;46150
48010;46168
48010;46176
48010;46184
48010;46192
48020;46214
48020;46222
48020;46231
48030;46311
48030;46320
48030;46338
48030;46346
48030;46354
48030;46362
48030;46371
48030;46397
48030;47211
48030;47229
48030;47237
48030;47245
48030;47296
48041;46419
48041;46893
48041;47555
48042;46427
48042;46435
48042;47814
48042;47822
48050;46711
48050;46729
48050;46737
48050;46745
48050;46796
48050;47415
48050;47423
48050;47431
48050;47440
48060;47318
48060;47326
48071;46443
48071;46451
48071;46460
48071;47717
48071;47725
48071;47733
48071;47741
48072;46478
48072;47610
48073;46494
48073;47539
48073;47547
48073;47571
48073;47598
48074;46516
48074;46524
48074;47512
48074;47521
48075;46613
48075;46621
48075;46630
48075;46648
48075;46656
48075;46699
48076;46818
48076;46826
48076;47849
48077;47857
48078;46877
48079;46834
48079;46842
48079;46851
48079;46869
48079;46893
48079;46915
48079;46923
48079;46931
48079;47563
48079;47628
48079;47636
48079;47831
48079;47857
48079;47890
48080;47113
48080;47121
48090;47130
48100;47903
H;H
49;49
49010;49116
49010;49124
49030;49213
49030;49221
49030;49230
49030;49248
49030;49299
49040;49302
49090;49400
49090;49507
50;50
50000;50114
50000;50122
50000;50211
50000;50220
50000;50301
50000;50912
50000;50998
51;51
51000;51111
51000;51129
51000;51200
51000;51307
52;52
52010;52117
52010;52125
52020;52214
52020;52222
52020;52231
52020;52290
52020;52311
52020;52320
52020;52397
52020;52401
52020;52508
53;53
53001;53105
53002;53202
I;I
55;55
55000;55108
55000;55906
56;56
56011;56112
56020;56121
56012;56201
J;J
58;58
58000;58115
58000;58123
58000;58131
58000;58191
58000;58212
58000;58221
58000;58239
58000;58298
59;59
59000;59111
59000;59120
59000;59138
59000;59146
59000;59201
60;60
60001;60101
60002;60217
60002;60225
61;61
61000;61108
61000;61205
61000;61302
61000;61418
61000;61426
61000;61434
61000;61906
62;62
62000;62015
62000;62023
62000;62031
62000;62040
62000;62091
63;63
63000;63119
63000;63194
63000;63917
63000;63992
K;K
64;64
64000;64107
64000;64212
64000;64221
64000;64239
64000;64247
64000;64310
64000;64328
64000;64336
64000;64344
64000;64352
64000;64361
64000;64379
64000;64387
64000;64409
64000;64506
64000;64611
64000;64620
64000;64638
64000;64701
64000;64913
64000;64921
64000;64930
64000;64999
65;65
65000;65111
65000;65120
65000;65201
65000;65308
65000;65413
65000;65421
65000;65502
66;66
66001;66118
66001;66126
66001;66134
66001;66193
66001;66304
66002;66215
66002;66223
66002;66291
L;L
68;68
68000;68102
68000;68218
68000;68226
M;M
69;69
69000;69117
69000;69125
69000;69206
70;70
70000;70107
70000;70204
71;71
71000;71111
71000;71120
71000;71197
71000;71201
72;72
72000;72100
72000;72207
73;73
73010;73114
73010;73122
73010;73190
73020;73203
74;74
74000;74102
74000;74200
74000;74901
75;75
75000;75001
N;N
77;77
77010;77217
77010;77225
77010;77233
77010;77292
77020;77110
77020;77195
77020;77314
77020;77322
77020;77331
77020;77390
77020;77403
78;78
78000;78108
78000;78205
78000;78302
79;79
79000;79112
79000;79121
79000;79902
80;80
80000;80111
80000;80129
80000;80200
80000;80307
81;81
81011;81117
81012;81125
81013;81214
81013;81222
81013;81290
81020;81303
82;82
82001;82113
82001;82199
82002;82202
82003;82300
82003;82911
82003;82920
82003;82997
O;O
84;84
84011;84116
84011;84124
84011;84132
84012;84116
84012;84124
84012;84132
84013;84116
84013;84124
84013;84132
84014;84221
84015;84213
84015;84230
84015;84248
84015;84256
84016;84230
84016;84248
84016;84256
84017;84230
84017;84248
84017;84256
84020;84302
P;P
85;85
85011;85112
85012;85121
85012;85139
85013;85201
85014;85317
85014;85325
85014;85333
85015;85414
85015;85422
85021;85503
85029;85911
85029;85929
85029;85937
85029;85996
Q;Q
86;86
86001;86101
86002;86305
86003;86402
86004;86500
86009;86216
86009;86224
86009;86607
86009;86909
87;87
87000;87115
87000;87123
87000;87204
87000;87301
88;88
88000;88006
R;R
90;90
90000;90019
90000;90027
90000;90035
91;91
91000;91015
91000;91023
91000;91031
92;92
92000;92003
93;93
93011;93115
93011;93123
93011;93191
93012;93131
93020;93212
93020;93298
S;S
94;94
94010;94111
94010;94120
94020;94201
94091;94910
94091;94928
94091;94936
94099;94308
94099;94995
95;95
95010;95118
95010;95126
95030;95215
95030;95291
96;96
96010;96017
96020;96025
96030;96033
96090;96092
T;T
97;97
97000;97005
U;U
99;99
99000;99008
